source_dataset_id,municipality_code,source_layer,native_zone_code,native_zone_description,generator_class,mapping_rule,mapping_status,evidence,notes,source_feature_count
F3_SRC_FVG_ZONING_IND_001,030003,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona D artigianale e industriale | SOTTOZONA=D3 | DEST_PREV=Zona D3 artigianali e industriali esistenti e di completamento | NOTE_DES=Aree interessate da insediamenti produttivi a carattere artigianale o industriale esistenti e quelle urbanizzate parzialmente edificate | ART_NTA=17,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,8
F3_SRC_FVG_ZONING_IND_001,030004,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D2.1 | DEST_PREV=Sottozona D2.1 - Produttiva di interesse comunale consolidata | ART_NTA=12;17,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,6
F3_SRC_FVG_ZONING_IND_001,030004,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D2.I2 | DEST_PREV=Sottozona D2.I2- Produttiva mista industriale-artigianale con direzionale di interesse comunale di espansione | ART_NTA=12;17,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,4
F3_SRC_FVG_ZONING_IND_001,030004,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D3.1 | DEST_PREV=Sottozona D3.1  - Produttiva puntuale consolidata | ART_NTA=12;17,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,4
F3_SRC_FVG_ZONING_IND_001,030004,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D3.2 | DEST_PREV=Sottozona D3.2 - Produttiva puntuale di completamento | ART_NTA=12;17,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,1
F3_SRC_FVG_ZONING_COM_001,030005,CER:ZONE_COMMERCIALI_H,H,ZONA_OMOGE=H | ZONA_DESC=Zone H - Insediamenti commerciali | SOTTOZONA=H2 | DEST_PREV=Zone H2 - Insediamenti commerciali di progetto | ART_NTA=6;19,G2_COMMERCIAL_TERTIARY,CER_LAYER_H,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,1
F3_SRC_FVG_ZONING_IND_001,030005,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zone D - Insediamenti industriali e artigianali | SOTTOZONA=D2.2 | DEST_PREV=Zone D2.2 - Zona artigianale-industriale di interesse locale di nuovo impianto | ART_NTA=6;21,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,2
F3_SRC_FVG_ZONING_IND_001,030005,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zone D - Insediamenti industriali e artigianali | SOTTOZONA=D3 | DEST_PREV=Zone D3 - Insediamenti industriali e artigianali esistenti | ART_NTA=6;22,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,1
F3_SRC_FVG_ZONING_COM_001,030006,CER:ZONE_COMMERCIALI_H,H,ZONA_OMOGE=H | ZONA_DESC=Zona H - Zona commericiale - Sistema commericiale spontaneo esistente | SOTTOZONA=H3 | DEST_PREV=Zona H3 - Insediamenti commerciali singoli in SR13/Casali Ledra e SR13/SP28 | ART_NTA=19,G2_COMMERCIAL_TERTIARY,CER_LAYER_H,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,5
F3_SRC_FVG_ZONING_IND_001,030006,CER:ZONE_INDUSTRIALI_ARTIG_D,D,ZONA_OMOGE=D | ZONA_DESC=Zona D - Zona industriale-artigianale - Sistema produttivo spontaneo esistente | SOTTOZONA=D3.1 | DEST_PREV=Zona D3.1 - Insediamenti artigianali singoli - Insediamenti esterni alla zona industriale | ART_NTA=18,G1_PRODUCTIVE,CER_LAYER_D,RESOLVED_INCLUDED,CER/Mosaicatura PRG 2018 historical geometry fallback; S3 only where current plan is verified but vector geometry is unavailable,,11
